shirt_number,first_name,last_name,county,position,goals,assists
1,Roman,Burki,Switzerland,goalkeeper,0,0
2,Jake,Nerwinski,USA,defender,0,2
4,Joakim,Nilsson,Sweden,defender,0,0
6,Njabulo,Blom,South Africa,midfielder,1,1
7,Tomas,Ostrak,Czechia,midfielder,3,2
8,Jared,Stroud,USA,midfielder,4,4
9,Joao,Klauss,Brazil,forward,8,4
10,Eduard,Lowen,Germany,midfielder,6,11
11,Nicholas,Gioacchini,USA,forward,10,1
12,Celio,Pompeu,Brazil,forward,1,2
13,Anthony,Markanich,USA,defender,1,0
14,John,Nelson,USA,defender,0,1
15,Josh,Yaro,Ghana,defender,0,0
16,Samuel,Adeniran,USA,forward,7,1
17,Selmir,Pidro,Bosnia and Herzegovina,defender,0,0
18,Owen,Omalley,USA,midfielder,0,0
19,Indiana,Vassilev,USA,midfielder,2,5
20,Akil,Watts,USA,midfielder,0,1
21,Rasmus,Alm,Sweden,forward,3,4
22,Kyle,Hiebert,Canada,defender,2,1
23,Jonathan,Bell,USA,defender,0,0
24,Lucas,Bartlett,USA,defender,0,1
25,Aziel,Jackson,USA,midfielder,1,4
26,Tim,Parker,USA,defender,4,0
28,Miguel,Perez,USA,midfielder,1,0
29,Nokkvi,Thorisson,Iceland,forward,1,0
30,Isak,Jensen,Denmark,midfielder,0,0
31,Michael,Creek,USA,goalkeeper,0,0
39,Ben,Lundt,Germany,goalkeeper,0,0
46,Caden,Glover,USA,forward,0,0